year,m,pilgrims,women,%,men,%,<30,%,30-60,%,>60,%,frances,%,port.,%,norte,%,prim.,%,ingles,%,plata,%,finis.,%,Spain,%,Italy,%,Germany,%,US,%,Portugal,%,France,%,UK,%,Ireland,%,Canada,%,Holland,%,Korea,%,Brazil,%,Austria,%,Poland,%,Belgium,%,Australia,%,Japan,%,Swiss,%,Mexico,%,Argentina,%,Denmark,%,China,%,Finland,%,Czech,%,Hungary,%,Venezuela,%
2006,10,7661,3083,40.2,4578,59.8,1573,20.5,4647,60.7,1441,18.8,6530,85.2,413,5.4,296,3.9,101,1.3,55,0.7,252,3.3,4,0.1,2861,37.3,344,4.5,953,12.4,261,3.4,242,3.2,758,9.9,0,0.0,0,0.0,369,4.8,0,0.0,0,0.0,168,2.2,0,0.0,0,0.0,193,2.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2005,10,6873,2731,39.7,4142,60.3,1548,22.5,4064,59.1,1261,18.3,5979,87.0,396,5.8,208,3.0,44,0.6,25,0.4,206,3.0,4,0.1,2663,38.7,276,4.0,727,10.6,224,3.3,299,4.4,740,10.8,179,2.6,0,0.0,369,5.4,0,0.0,0,0.0,206,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2004,10,14556,6219,42.7,8337,57.3,3933,27.0,8975,61.7,1648,11.3,11964,82.2,1148,7.9,440,3.0,179,1.2,107,0.7,684,4.7,2,0.0,9844,67.6,335,2.3,842,5.8,215,1.5,418,2.9,787,5.4,0,0.0,0,0.0,219,1.5,0,0.0,0,0.0,263,1.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,237,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,,,,,,,,,
2015,11,5229,2124,40.6,3105,59.4,1329,25.4,3179,60.8,721,13.8,3766,72.0,565,10.8,263,5.0,210,4.0,167,3.2,219,4.2,12,0.2,2071,39.6,279,5.3,318,6.1,358,6.8,184,3.5,231,4.4,0,0.0,0,0.0,157,3.0,0,0.0,315,6.0,0,0.0,0,0.0,0,0.0,0,0.0,149,2.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2014,11,4803,1910,39.8,2893,60.2,1126,23.4,2979,62.0,698,14.5,3528,73.5,556,11.6,272,5.7,133,2.8,116,2.4,146,3.0,9,0.2,1922,40.0,219,4.6,325,6.8,316,6.6,192,4.0,237,4.9,0,0.0,0,0.0,163,3.4,0,0.0,320,6.7,0,0.0,0,0.0,0,0.0,0,0.0,146,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2013,11,4900,1960,40.0,2940,60.0,1377,28.1,2852,58.2,671,13.7,3673,75.0,409,8.3,242,4.9,120,2.4,66,1.3,349,7.1,9,0.2,2288,46.7,192,3.9,254,5.2,276,5.6,0,0.0,213,4.3,120,2.4,0,0.0,122,2.5,0,0.0,317,6.5,0,0.0,0,0.0,0,0.0,0,0.0,133,2.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2012,11,4173,1526,36.6,2647,63.4,1051,25.2,2638,63.2,484,11.6,3021,72.4,506,12.1,208,5.0,161,3.9,44,1.1,211,5.1,8,0.2,1855,44.5,184,4.4,243,5.8,241,5.8,241,5.8,198,4.7,90,2.2,0,0.0,118,2.8,0,0.0,207,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2011,11,3597,1346,37.4,2251,62.6,991,27.6,2154,59.9,452,12.6,2712,75.4,346,9.6,157,4.4,110,3.1,42,1.2,208,5.8,9,0.3,1862,51.8,126,3.5,251,7.0,103,2.9,106,2.9,152,4.2,0,0.0,0,0.0,81,2.3,0,0.0,143,4.0,0,0.0,0,0.0,0,0.0,82,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2010,11,8076,3597,44.5,4479,55.5,1645,20.4,5360,66.4,1071,13.3,5515,68.3,1140,14.1,391,4.8,287,3.6,178,2.2,489,6.1,19,0.2,6053,75.0,155,1.9,246,3.0,108,1.3,135,1.7,295,3.7,0,0.0,0,0.0,0,0.0,0,0.0,124,1.5,80,1.0,0,0.0,0,0.0,63,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2009,11,2352,770,32.7,1582,67.3,582,24.7,1479,62.9,291,12.4,1959,83.3,139,5.9,77,3.3,59,2.5,21,0.9,79,3.4,7,0.3,1067,45.4,104,4.4,198,8.4,89,3.8,0,0.0,159,6.8,0,0.0,0,0.0,84,3.6,0,0.0,85,3.6,45,1.9,0,0.0,0,0.0,0,0.0,47,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2008,11,2301,766,33.3,1535,66.7,634,27.6,1382,60.1,285,12.4,1864,81.0,152,6.6,78,3.4,56,2.4,27,1.2,116,5.0,3,0.1,1036,45.0,80,3.5,188,8.2,78,3.4,71,3.1,178,7.7,0,0.0,0,0.0,91,4.0,0,0.0,65,2.8,0,0.0,0,0.0,0,0.0,0,0.0,62,2.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2007,11,2496,959,38.4,1537,61.6,712,28.5,1514,60.7,270,10.8,1942,77.8,217,8.7,102,4.1,82,3.3,55,2.2,96,3.8,0,0.0,1131,45.3,91,3.6,185,7.4,99,4.0,236,9.5,159,6.4,0,0.0,0,0.0,81,3.2,0,0.0,0,0.0,65,2.6,0,0.0,0,0.0,0,0.0,58,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2006,11,1755,588,33.5,1167,66.5,452,25.8,1090,62.1,213,12.1,1454,82.8,62,3.5,101,5.8,34,1.9,30,1.7,72,4.1,0,0.0,849,48.4,91,5.2,144,8.2,50,2.8,0,0.0,153,8.7,0,0.0,0,0.0,60,3.4,0,0.0,0,0.0,58,3.3,0,0.0,0,0.0,0,0.0,55,3.1,0,0.0,28,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2005,11,1396,463,33.2,933,66.8,344,24.6,908,65.0,144,10.3,1167,83.6,47,3.4,37,2.7,5,0.4,44,3.2,82,5.9,0,0.0,661,47.3,73,5.2,110,7.9,42,3.0,0,0.0,122,8.7,39,2.8,0,0.0,51,3.7,0,0.0,0,0.0,41,2.9,0,0.0,0,0.0,0,0.0,39,2.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2004,11,4410,1956,44.4,2454,55.6,984,22.3,3056,69.3,370,8.4,3512,79.6,379,8.6,158,3.6,69,1.6,98,2.2,180,4.1,8,0.2,3301,74.9,0,0.0,95,2.2,54,1.2,73,1.7,191,4.3,39,0.9,0,0.0,58,1.3,0,0.0,0,0.0,59,1.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,194,4.4
,,,,,,,,,
2015,12,2062,694,33.7,1368,66.3,581,28.2,1318,63.9,163,7.9,1328,64.4,322,15.6,128,6.2,59,2.9,106,5.1,90,4.4,13,0.6,1096,53.2,111,5.4,83,4.0,60,2.9,105,5.1,73,3.5,0,0.0,0,0.0,0,0.0,0,0.0,117,5.7,41,2.0,0,0.0,0,0.0,0,0.0,0,0.0,37,1.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2014,12,1870,610,32.6,1260,67.4,536,28.7,1176,62.9,158,8.4,1205,64.4,321,17.2,62,3.3,82,4.4,92,4.9,89,4.8,7,0.4,961,51.4,109,5.8,78,4.2,64,3.4,145,7.8,69,3.7,30,1.6,0,0.0,0,0.0,0,0.0,116,6.2,28,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2013,12,1659,582,35.1,1077,64.9,403,24.3,1069,64.4,187,11.3,1139,68.7,229,13.8,42,2.5,93,5.6,28,1.7,113,6.8,6,0.4,951,57.3,73,4.4,63,3.8,38,2.3,98,5.9,56,3.4,0,0.0,0,0.0,28,1.7,22,1.3,100,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2012,12,1501,495,33.0,1006,67.0,400,26.6,958,63.8,143,9.5,1038,69.2,211,14.1,72,4.8,45,3.0,58,3.9,50,3.3,18,1.2,842,56.1,67,4.5,57,3.8,26,1.7,85,5.7,64,4.3,0,0.0,0,0.0,0,0.0,25,1.7,82,5.5,0,0.0,0,0.0,0,0.0,0,0.0,25,1.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2011,12,1498,424,28.3,1074,71.7,380,25.4,1040,69.4,78,5.2,1004,67.0,228,15.2,93,6.2,59,3.9,39,2.6,65,4.3,3,0.2,982,65.6,40,2.7,63,4.2,32,2.1,78,5.2,50,3.3,20,1.3,0,0.0,0,0.0,0,0.0,43,2.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,1.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2010,12,5967,2637,44.2,3330,55.8,1439,24.1,3997,67.0,531,8.9,3829,64.2,1080,18.1,196,3.3,253,4.2,279,4.7,300,5.0,23,0.4,5243,87.9,44,0.7,71,1.2,45,0.8,142,2.4,55,0.9,0,0.0,0,0.0,0,0.0,0,0.0,38,0.6,36,0.6,0,0.0,0,0.0,0,0.0,0,0.0,33,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2009,12,1005,294,29.3,711,70.7,232,23.1,696,69.3,77,7.7,701,69.8,152,15.1,38,3.8,40,4.0,9,0.9,60,6.0,2,0.2,596,59.3,38,3.8,40,4.0,19,1.9,62,6.2,35,3.5,0,0.0,0,0.0,0,0.0,0,0.0,47,4.7,24,2.4,0,0.0,0,0.0,0,0.0,17,1.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2008,12,1085,426,39.3,659,60.7,370,34.1,636,58.6,79,7.3,640,59.0,364,33.5,19,1.8,16,1.5,8,0.7,35,3.2,1,0.1,727,67.0,27,2.5,52,4.8,16,1.5,66,6.1,46,4.2,0,0.0,0,0.0,13,1.2,11,1.0,12,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2007,12,796,237,29.8,559,70.2,242,30.4,523,65.7,31,3.9,617,77.5,43,5.4,50,6.3,16,2.0,25,3.1,42,5.3,3,0.4,478,60.1,25,3.1,62,7.8,12,1.5,27,3.4,41,5.2,0,0.0,0,0.0,14,1.8,0,0.0,0,0.0,14,1.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2006,12,848,243,28.7,605,71.3,223,26.3,573,67.6,52,6.1,678,80.0,90,10.6,11,1.3,24,2.8,17,2.0,26,3.1,0,0.0,540,63.7,21,2.5,39,4.6,14,1.7,30,3.5,53,6.3,13,1.5,0,0.0,13,1.5,0,0.0,0,0.0,10,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2005,12,668,173,25.9,495,74.1,202,30.2,437,65.4,29,4.3,479,71.7,56,8.4,35,5.2,23,3.4,41,6.1,30,4.5,2,0.3,440,65.9,21,3.1,23,3.4,0,0.0,28,4.2,33,4.9,0,0.0,0,0.0,14,2.1,0,0.0,0,0.0,11,1.6,0,0.0,0,0.0,15,2.2,0,0.0,11,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2004,12,3803,1698,44.6,2105,55.4,1038,27.3,2543,66.9,222,5.8,2642,69.5,589,15.5,206,5.4,131,3.4,100,2.6,99,2.6,12,0.3,3437,90.4,31,0.8,24,0.6,21,0.6,54,1.4,45,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,0.4,19,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,,,,,,,,,
